Nivel;ID;Denominacion
5;L504-MLAM01-051300;POLÍN 2
5;L504-MLAM01-051400;POLINES GUÍA
5;L504-MLAM01-051500;CILINDRO DE MOVIMIENTO
5;L504-MLAM01-051600;MOTOREDUCTOR
5;L504-MLAM01-051700;DISPOSITIVOS DE SEGURIDAD
4;L504-MLAM01-052000;WIGWAG
5;L504-MLAM01-052100;UNIDAD DE TRANSMISIÓN
6;L504-MLAM01-052110;MOTOREDUCTOR
6;L504-MLAM01-052120;PIÑON DE TRANSMISIÓN
6;L504-MLAM01-052130;CADENA TRANSMISIÓN
6;L504-MLAM01-052140;DESCANSO 01
6;L504-MLAM01-052150;DESCANSO 02
6;L504-MLAM01-052160;EJE TRANSMISIÓN
5;L504-MLAM01-052200;ESTRUCTURA WIGWAG
6;L504-MLAM01-052210;POLINES
4;L504-MLAM01-053000;SKID INDEXER 1
4;L504-MLAM01-054000;SKID INDEXER 2
3;L504-MLAM01-060000;TABLEROS ELÉCTRICOS
1;L504-3300;DEPARTAMENTO - CALANDRAS
2;L504-CALZ;CALANDRA Z
3;L504-CALZ-000151;LET-OFF
4;L504-CALZ-001;ESTACION 1
4;L504-CALZ-002;ESTACION 2
4;L504-CALZ-003;EMPALMADOR
4;L504-CALZ-004;CONTROL DE TENSION
4;L504-CALZ-005;SISTEMA DE CENTRADO
3;L504-CALZ-000152;FESTOON ENTRADA
4;L504-CALZ-006;POLINES SUPERIORES
4;L504-CALZ-007;POLINES INFERIORES
4;L504-CALZ-008;SISTEMA HIDRAULICO
4;L504-CALZ-009;SISTEMA DE CENTRADO
3;L504-CALZ-000154;RODILLOS CALENTADORES
4;L504-CALZ-010;FLEXIBILIZADOR
4;L504-CALZ-011;TAMBORES
4;L504-CALZ-012;LINEA DE VAPOR
4;L504-CALZ-013;SISTEMA DE CENTRADO
3;L504-CALZ-000155;CUERPO CALANDRA
4;L504-CALZ-014;RODILLO #1
4;L504-CALZ-015;RODILLO #2
4;L504-CALZ-016;RODILLO #3
4;L504-CALZ-017;RODILLO #4
4;L504-CALZ-018;MOTOR
4;L504-CALZ-019;CAJA REDUCTORA
4;L504-CALZ-020;SISTEMA MEDICION ESPESOR
4;L504-CALZ-021;ROLLBENDING
4;L504-CALZ-022;SISTEMA LUBRICACION RODILLOS
4;L504-CALZ-023;SISTEMA DE CENTRADO
4;L504-CALZ-024;SISTEMA DE CORTE
3;L504-CALZ-000158;FESTOON DE SALIDA
4;L504-CALZ-025;POLINES SUPERIORES
4;L504-CALZ-026;POLINES INFERIORES
4;L504-CALZ-027;SISTEMA HIDRAULICO
4;L504-CALZ-028;SISTEMA DE CENTRADO
3;L504-CALZ-000159;WIND-UP
4;L504-CALZ-029;ESTACION ENROLLADOR #1
4;L504-CALZ-030;SISTEMA DE CENTRADO ENROLLADOR #1
4;L504-CALZ-031;SISTEMA NEUMATICO ENROLLADOR #1
4;L504-CALZ-032;SISTEMA DE CORTE ENROLLADOR #1
4;L504-CALZ-033;ESTACION ENROLLADOR #2
4;L504-CALZ-034;SISTEMA DE CENTRADO ENROLLADOR #2
4;L504-CALZ-035;SISTEMA NEUMATICO ENROLLADOR #2
4;L504-CALZ-036;SISTEMA DE CORTE ENROLLADOR #2
